Geoid,tract,ResidentalBuildings,ResidentialVacancies,percent of vacant properties
42003426300,426300,2550,28,0.010980392
42003426400,426400,2402,41,0.017069109
42003426700,426700,1239,41,0.033091203
42003426800,426800,2107,9,0.004271476
42003427000,427000,2052,111,0.054093567
42003427100,427100,2239,17,0.007592675
42003427200,427200,2458,91,0.037021969
42003428100,428100,586,23,0.039249147
42003428200,428200,1050,14,0.013333333
42003429100,429100,1201,3,0.002497918
42003429201,429201,1978,18,0.009100101
42003429202,429202,2023,18,0.008897677
42003429300,429300,2572,16,0.00622084
42003429400,429400,1989,15,0.007541478
42003429500,429500,3355,22,0.006557377
42003429600,429600,1726,23,0.013325608
42003429700,429700,1133,9,0.007943513
42003430100,430100,987,13,0.013171226
42003430200,430200,2256,29,0.01285461
42003431100,431100,1877,47,0.025039957
42003431400,431400,863,29,0.033603708
42003431500,431500,2001,72,0.035982009
42003432300,432300,1309,27,0.020626432
42003432400,432400,1517,61,0.040210943
42003434000,434000,829,11,0.013268999
42003435000,435000,1248,14,0.011217949
42003437000,437000,2631,13,0.004941087
42003439000,439000,560,5,0.008928571
42003445500,445500,2292,61,0.026614311
42003446000,446000,663,6,0.009049774
42003447000,447000,684,25,0.036549708
42003448000,448000,620,52,0.083870968
42003449000,449000,1148,27,0.023519164
42003450700,450700,1690,53,0.031360947
42003450800,450800,1473,59,0.040054311
42003451101,451101,1670,5,0.002994012
42003451102,451102,2252,41,0.018206039
42003451104,451104,1410,0,0
42003451105,451105,2789,11,0.003944066
42003451300,451300,3081,9,0.00292113
42003452000,452000,2692,15,0.005572065
42003453003,453003,771,0,0
42003453004,453004,3289,2,0.000608088
42003455000,455000,718,17,0.02367688
42003456001,456001,1589,8,0.005034613
42003456003,456003,2783,5,0.001796622
42003456004,456004,2491,46,0.018466479
42003457100,457100,1199,15,0.012510425
42003457200,457200,1811,51,0.028161237
42003458000,458000,4011,26,0.006482174
42003459101,459101,712,9,0.012640449
42003459102,459102,2600,13,0.005
42003459201,459201,3622,40,0.011043622
42003459202,459202,500,0,0
42003460001,460001,2145,21,0.00979021
42003460002,460002,1697,40,0.023571008
42003461000,461000,666,20,0.03003003
42003462100,462100,1516,163,0.107519789
42003462600,462600,2094,230,0.109837631
42003463900,463900,1381,168,0.121650978
42003464300,464300,1592,29,0.01821608
42003464400,464400,1766,262,0.148357871
42003465600,465600,1520,29,0.019078947
42003465800,465800,1781,47,0.026389669
42003468700,468700,1116,39,0.034946237
42003468800,468800,1379,44,0.031907179
42003468900,468900,2165,75,0.034642032
42003469000,469000,2237,40,0.017881091
42003470300,470300,1859,6,0.003227542
42003470400,470400,1429,12,0.008397481
42003470501,470501,2170,15,0.006912442
42003470502,470502,1423,12,0.008432888
42003470600,470600,1688,61,0.036137441
42003471000,471000,631,37,0.058637084
